#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
57.0,57,4345.978109
121.0,121,4353.310214
71.0,71,4356.742265
71.0,71,4359.864308
121.0,121,4363.502362
71.0,71,4366.86441
168.0,168,4374.494519
253.0,253,4383.55865
121.0,121,4389.686739
55.0,55,4394.0418
125.0,125,4400.820899
124.0,124,4407.446996
56.0,56,4411.901058
127.0,127,4418.508153
123.0,123,4425.022246
65.0,65,4429.660313
67.0,67,4434.519384
127.0,127,4441.131482
125.0,125,4447.607573
125.0,125,4454.474671
125.0,125,4460.652761
65.0,65,4465.50183
61.0,61,4470.411901
56.0,56,4475.022967
49.0,49,4479.36503
68.0,68,4484.1971
124.0,124,4490.701192
124.0,124,4497.306289
60.0,60,4502.004355
53.0,53,4506.505421
126.0,126,4512.932514
180.0,180,4520.397623
59.0,59,4524.983689
123.0,123,4531.392779
217.0,217,4540.645916
57.0,57,4545.40098
65.0,65,4550.099047
241.0,241,4559.22118
230.0,230,4568.312312
228.0,228,4576.874436
56.0,56,4581.244497
227.0,227,4589.287614
53.0,53,4594.418686
52.0,52,4598.586746
55.0,55,4603.200812
341.0,341,4613.98997
66.0,66,4619.004041
245.0,245,4627.685165
241.0,241,4636.689294
275.0,275,4646.172432
258.0,258,4655.531566
56.0,56,4659.86063
355.0,355,4671.7328
321.0,321,4682.77296
59.0,59,4687.291024
309.0,309,4697.99318
290.0,290,4707.896321
52.0,52,4712.334383
54.0,54,4716.567444
51.0,51,4720.815506
310.0,310,4731.51566
54.0,54,4735.842724
389.0,389,4748.141899
47.0,47,4752.277959
47.0,47,4756.274016
48.0,48,4760.71608
393.0,393,4772.782254
384.0,384,4785.335438
44.0,44,4789.422495
307.0,307,4800.246651
49.0,49,4804.461711
291.0,291,4814.555856
45.0,45,4826.994035
45.0,45,4830.08408
45.0,45,4833.240126
45.0,45,4836.027166
334.0,334,4839.371216
208.0,208,4847.585331
46.0,46,4851.557391
378.0,378,4863.604563
273.0,273,4873.653769
44.0,44,4877.98583
53.0,53,4882.7249
272.0,272,4891.699029
45.0,45,4896.147094
267.0,267,4905.069221
274.0,274,4914.856878
265.0,265,4924.514015
45.0,45,4928.552074
269.0,269,4938.518221
271.0,271,4947.906354
271.0,271,4956.975483
275.0,275,4967.166631
279.0,279,4977.237777
265.0,265,4986.732912
43.0,43,4991.052976
197.0,197,4998.958089
267.0,267,5008.430225
168.0,168,5016.015336
269.0,269,5026.248481
327.0,327,5038.024651
44.0,44,5042.160709
42.0,42,5046.571775
214.0,214,5055.467902
218.0,218,5064.511033
270.0,270,5074.758179
270.0,270,5084.441319
272.0,272,5094.639466
267.0,267,5104.660609
270.0,270,5114.907758
261.0,261,5125.072906
274.0,274,5135.338053
192.0,192,5143.318169
43.0,43,5147.344226
49.0,49,5151.564286
274.0,274,5161.739433
276.0,276,5172.182585
279.0,279,5182.141727
43.0,43,5186.594794
275.0,275,5196.266932
271.0,271,5205.786067
281.0,281,5215.389205
42.0,42,5219.377262
43.0,43,5223.728325
275.0,275,5233.067459
45.0,45,5237.280523
45.0,45,5241.848591
44.0,44,5250.654713
44.0,44,5253.787757
44.0,44,5256.891802
333.0,333,5260.762859
44.0,44,5264.044905
44.0,44,5268.38597
272.0,272,5278.885119
274.0,274,5288.39826
45.0,45,5292.628318
271.0,271,5302.340456
47.0,47,5306.623518
50.0,50,5310.848579
46.0,46,5315.215642
270.0,270,5325.022782
266.0,266,5335.101931
44.0,44,5339.472994
47.0,47,5343.672052
270.0,270,5353.810198
276.0,276,5363.551342
274.0,274,5373.915488
49.0,49,5378.084548
273.0,273,5388.486697
47.0,47,5392.591756
51.0,51,5396.94982
48.0,48,5401.453883
273.0,273,5411.590031
50.0,50,5415.793093
270.0,270,5425.938236
272.0,272,5436.514389
53.0,53,5440.824451
269.0,269,5450.342589
275.0,275,5460.619738
298.0,298,5471.760897
277.0,277,5482.149046
283.0,283,5491.701184
278.0,278,5501.622328
339.0,339,5513.256496
271.0,271,5522.205135
55.0,55,5526.544199
55.0,55,5530.90326
280.0,280,5540.216396
293.0,293,5549.783533
269.0,269,5558.993752
329.0,329,5568.67389
61.0,61,5573.126958
55.0,55,5577.165011
62.0,62,5581.491074
57.0,57,5585.829137
62.0,62,5590.044199
290.0,290,5599.854341
329.0,329,5610.377489
368.0,368,5621.812655
334.0,334,5632.685811
59.0,59,5636.875871
59.0,59,5641.110934
302.0,302,5651.472081
58.0,58,5655.946146
331.0,331,5666.465297
57.0,57,5670.627358
61.0,61,5675.418427
61.0,61,5681.592515
354.0,354,5684.993567
354.0,354,5688.331613
61.0,61,5691.177654
61.0,61,5694.003695
315.0,315,5704.957852
281.0,281,5714.938996
270.0,270,5724.627135
66.0,66,5728.984198
58.0,58,5733.20526
355.0,355,5744.42942
269.0,269,5753.987558
60.0,60,5758.263619
329.0,329,5769.483781
61.0,61,5773.766842
63.0,63,5778.075906
280.0,280,5786.983033
65.0,65,5791.653101
322.0,322,5801.966249
315.0,315,5811.70039
64.0,64,5815.884449
329.0,329,5826.060596
62.0,62,5830.214656
363.0,363,5841.120812
285.0,285,5850.627949
317.0,317,5859.866082
65.0,65,5864.210146
352.0,352,5874.440292
61.0,61,5878.669353
328.0,328,5889.427508
338.0,338,5900.291665
309.0,309,5910.466811
60.0,60,5914.746873
309.0,309,5925.799032
313.0,313,5936.509186
62.0,62,5940.852248
310.0,310,5951.891408
358.0,358,5963.301574
303.0,303,5973.809722
312.0,312,5984.476878
63.0,63,5988.968942
310.0,310,5999.661096
67.0,67,6004.317163
64.0,64,6008.678227
64.0,64,6013.594297
58.0,58,6017.883358
308.0,308,6028.845516
315.0,315,6039.046663
313.0,313,6049.740817
63.0,63,6054.068879
63.0,63,6058.436942
60.0,60,6062.786007
60.0,60,6067.295069
63.0,63,6077.639219
322.0,322,6081.056268
63.0,63,6084.03931
322.0,322,6087.46536
322.0,322,6090.847409
62.0,62,6095.255473
67.0,67,6099.912539
312.0,312,6109.513677
320.0,320,6119.457847
65.0,65,6123.764909
70.0,70,6128.369975
266.0,266,6136.855098
66.0,66,6141.299162
62.0,62,6145.661226
309.0,309,6155.178363
64.0,64,6159.331422
69.0,69,6163.580483
311.0,311,6173.803629
70.0,70,6178.388695
66.0,66,6182.760759
65.0,65,6187.298825
68.0,68,6191.766889
68.0,68,6196.218953
272.0,272,6205.13908
307.0,307,6216.15724
274.0,274,6225.969382
275.0,275,6235.838524
314.0,314,6246.734681
73.0,73,6251.372746
64.0,64,6255.879812
70.0,70,6260.509879
70.0,70,6264.970942
311.0,311,6275.693098
70.0,70,6279.959158
72.0,72,6284.725228
69.0,69,6289.220291
310.0,310,6299.910446
71.0,71,6304.480511
270.0,270,6314.006648
72.0,72,6318.993721
310.0,310,6329.176866
73.0,73,6333.783933
308.0,308,6344.335085
74.0,74,6348.899151
311.0,311,6359.792308
71.0,71,6364.322375
76.0,76,6368.753439
280.0,280,6378.211573
272.0,272,6387.203702
77.0,77,6391.805769
305.0,305,6400.988901
312.0,312,6410.630041
302.0,302,6420.242179
266.0,266,6428.948305
309.0,309,6437.822433
227.0,227,6445.567543
314.0,314,6455.170681
74.0,74,6459.614746
76.0,76,6464.188812
69.0,69,6468.678877
