#{"t_start": 1707317816.0819433, "env_id": "None"}
r,l,t
4914.18212,5000,76939.049782
4945.105273,5000,77024.656269
5037.638107,5000,77110.307248
4773.177543,5000,77195.245318
4885.000557,5000,77280.40117
4788.004555,5000,77365.724552
4953.187367,5000,77450.993816
4824.127245,5000,77536.024209
4497.773404,5000,77621.656558
4959.023219,5000,77706.710096
4878.311849,5000,77792.049414
4875.460947,5000,77877.813734
4885.973428,5000,77962.66175
4887.205234,5000,78047.844174
5022.687591,5000,78133.18351
4983.753523,5000,78217.930358
4902.770857,5000,78302.70866
4918.371589,5000,78387.973822
4966.997477,5000,78472.890143
4821.94095,5000,78558.160305
4921.924598,5000,78643.457674
4989.21559,5000,78728.612778
4943.715007,5000,78813.605161
4932.234271,5000,78898.918648
4870.53391,5000,78984.684371
4928.929045,5000,79070.22377
4911.762451,5000,79155.2119
4950.643021,5000,79241.008664
4903.447613,5000,79326.27716
4904.574924,5000,79411.94433
4897.647218,5000,79497.461177
4953.954635,5000,79582.989235
5032.563398,5000,79669.50545
4983.502392,5000,79755.822079
5003.937985,5000,79840.851721
4866.575794,5000,79926.113775
4817.416671,5000,80012.166768
4992.382389,5000,80096.143661
5027.385488,5000,80182.017879
4726.874849,5000,80267.394258
5015.746389,5000,80352.977786
5088.071475,5000,80438.426081
5007.527156,5000,80522.830375
5133.3665,5000,80608.08864
5022.570016,5000,80693.641692
4999.58083,5000,80778.77688
4958.923222,5000,80863.922299
5040.849802,5000,80948.844311
4992.559845,5000,81035.275626
4958.327227,5000,81120.709433
4908.320022,5000,81206.328756
4976.924109,5000,81291.345877
4987.302054,5000,81376.811956
4972.285735,5000,81461.810227
4933.74272,5000,81547.543397
4787.832802,5000,81633.496583
4780.450083,5000,81718.972987
4956.487166,5000,81804.098004
4950.011121,5000,81889.073129
4968.216131,5000,81974.62013
4952.055856,5000,82059.694286
4953.819486,5000,82144.123768
4971.268208,5000,82228.998099
4978.828683,5000,82314.263192
5119.217524,5000,82399.436138
5001.674107,5000,82484.946383
5049.344833,5000,82570.002553
4988.328853,5000,82655.418745
4995.939382,5000,82740.769916
4927.622492,5000,82826.193985
4910.185132,5000,82911.68529
4940.410876,5000,82996.877568
4949.680824,5000,83082.282703
4920.872798,5000,83167.942963
4893.839367,5000,83253.70528
4879.366383,5000,83338.767426
4792.441575,5000,83424.244913
4760.636144,5000,83509.962979
4967.453396,5000,83595.484904
4919.059459,5000,83680.815854
